"c[trans]" "c[com]" "c[circ]" "c[rep+]" "c[rep-]" "c[pack]" "com[max]" "rep[max]" "c[3A]" "c[stay]" "scaler" "var c[trans]" " var c[com]" "var c[circ]" "var c[rep+]" "var c[rep-]" "var c[pack]" "var com[max]" "var rep[max]" "var c[3A]" "var c[stay]" "var scaler" "ly gamma shape" "lag" "ly gamma rate" "lag var"
3.515717 -2.981392 -6.539924 13.40622 17.79608 -5.071863 3.554012 3.353052 7.567954 0.2505433 4.062991e-05 0.8133224 0.7291919 0.3194946 0.5363824 0.4167199 0.1544762 0.8601562 0.2023396 0.007874612 0.331694 0.2627772 39.89388 3.629193 2.492841 1.722547
2.82858 -9.668932 -1.534476 -0.2123378 12.04 -2.758986 7.247812 3.786601 8.229501 0.5347023 7.551104e-05 0.2886038 0.536923 0.4438328 0.6790321 0.1148579 0.43392 0.8972122 0.2244102 0.9222325 0.593118 0.5547718 29.0367 2.929596 2.066576 1.456359
2.461919 -7.361811 -0.858319 5.473084 12.8738 -6.285575 13.90235 4.725536 6.932505 0.8134684 5.315775e-05 0.6627719 0.7127573 0.893347 0.04976161 0.37124 0.3666772 0.625561 0.3014968 0.9819595 0.7545507 0.6809237 35.29705 2.501469 2.584906 3.800023
2.873224 -2.628662 -4.647724 9.640685 8.777206 -8.350945 5.449411 4.811637 7.471955 0.5448841 9.565278e-05 0.8757898 0.4080121 0.4337265 0.8518985 0.221563 0.4330802 0.8259338 0.315132 0.05817487 0.6412242 0.679403 37.02579 1.688709 2.940573 3.207171
3.420727 -7.78572 -9.132007 15.23554 12.13729 -0.5997975 11.32841 4.782383 8.623987 0.693243 6.515613e-05 0.6563468 0.339868 0.3825483 0.7316543 0.3855685 0.4214768 0.7962693 0.672251 0.1485995 0.6180373 0.585619 40.69512 3.665018 2.604254 3.264498
5.778509 -7.700617 -1.493147 -5.251881 1.76103 -9.363481 14.13498 6.034388 6.825361 0.2469562 4.029032e-05 0.5152236 0.5304579 0.2291656 0.5105932 0.1524419 0.09852553 0.5394113 0.2456191 0.4003726 0.5442994 0.4081163 32.42558 4.083486 2.531146 1.360188
1.643825 -2.042717 -4.666132 3.297233 13.01983 -6.594266 12.9951 5.962696 4.984213 0.5429865 4.690854e-05 0.6184018 0.1479544 0.4291052 0.1605369 0.669379 0.4608547 0.4532125 0.8017119 0.9987645 0.3714509 0.5925503 37.66003 1.878585 2.589013 5.035232
2.793222 -5.301682 -2.801621 2.598436 1.712529 -7.110008 6.246049 4.870359 7.853313 0.7897727 7.405414e-05 0.2823045 0.03488325 0.1876913 0.6895039 0.7079245 0.344945 0.6470323 0.387508 0.6836396 0.4929401 0.1738863 38.97789 4.322615 2.813264 1.483686
3.96159 -4.815001 -7.386653 8.995676 15.33873 -1.177691 13.61353 2.854456 9.631206 0.3528746 4.673672e-05 0.1622501 0.2414527 0.119873 0.71412 0.8884005 0.902016 0.2637824 0.107099 0.8837237 0.5449254 0.5218613 44.13349 2.589022 2.727322 1.529358
3.686826 -0.4288528 -3.221771 4.90527 18.62429 -9.607026 14.73844 4.678218 8.736968 0.9359314 4.803959e-05 0.9389481 0.3948656 0.8958067 0.7348822 0.06118768 0.6445373 0.120026 0.723501 0.9029972 0.3167159 0.3503457 39.99099 1.072634 2.207802 7.439999
4.04824 -4.004245 -8.231276 -4.582221 9.82245 -8.404263 4.466955 4.73064 4.903034 0.2077561 4.743975e-05 0.4719241 0.06029916 0.7671548 0.9299759 0.4868504 0.4371131 0.04675489 0.4702255 0.290536 0.9091197 0.2276047 32.12758 3.067582 2.53589 2.911316
4.300108 -0.04228263 1.2737 -4.870715 3.967288 -0.297014 12.33067 5.032108 7.623651 0.152472 3.483077e-05 0.7980614 0.08255432 0.6030282 0.8724048 0.1499965 0.7847653 0.3290281 0.9566938 0.3815914 0.7253147 0.5048873 32.44057 4.350776 2.333462 1.837297
5.570799 -1.242079 -9.339383 -5.898774 12.78385 -3.442497 12.81725 4.84675 7.653765 0.8428888 3.4587e-05 0.2086216 0.4204964 0.3818909 0.3069782 0.2515365 0.5856886 0.8520906 0.1079922 0.2409749 0.1293701 0.5242149 35.79278 2.736266 2.392705 1.017088
1.753502 -7.799767 -4.154278 0.174397 14.1503 -5.097541 13.69312 4.937725 6.280437 0.5460567 2.735306e-05 0.8229983 0.5455512 0.8383411 0.7305416 0.5769158 0.2587181 0.7753344 0.9683156 0.223378 0.9164118 0.885603 47.138 3.919113 2.812578 0.3832959
3.696404 -2.021143 -0.5347388 -2.4892 13.90518 -8.137572 8.575397 4.725061 7.987914 0.8989084 2.448088e-05 0.879002 0.9960727 0.5807021 0.7390646 0.3578717 0.3880424 0.164561 0.5169214 0.6997708 0.6782428 0.3238672 40.17444 4.326355 3.021527 2.934079
3.403483 -7.00434 -1.35286 6.258025 6.505983 -4.284579 12.44055 4.132558 8.281245 0.5882181 4.730239e-05 0.58821 0.4038496 0.8936868 0.713839 0.8220642 0.7379162 0.4248183 0.8353389 0.6557093 0.3505625 0.3287646 34.15257 4.111718 2.93033 1.312437
3.839372 -8.260626 -0.6430797 -5.086565 10.26856 -7.789752 13.85132 3.641615 7.828496 0.3839286 9.364552e-05 0.4604218 0.884177 0.6840849 0.7534514 0.4463986 0.5500638 0.3236537 0.5802121 0.6892509 0.6550198 0.1354164 20.07706 4.276425 1.327681 0.6478088
2.516972 -4.295445 -7.065144 12.39987 8.769324 -3.355299 5.725762 5.417252 7.025534 0.1875063 2.198807e-05 0.656449 0.2619918 0.8775462 0.5859495 0.5023247 0.4519792 0.6956923 0.08611549 0.6508684 0.5460519 0.7218787 33.3729 4.244834 2.112107 5.344251
2.618746 -2.675345 -0.8271882 -4.832985 5.369946 -6.232751 8.606425 5.555433 5.456415 0.5507346 7.93401e-05 0.6299549 0.1639841 0.8136889 0.8372111 0.05583681 0.700596 0.9403367 0.9464848 0.3023876 0.8047277 0.2135998 30.63129 2.447136 1.962969 0.7211043
