"c[trans]" "c[com]" "c[circ]" "c[rep+]" "c[rep-]" "c[pack]" "com[max]" "rep[max]" "c[3A]" "c[stay]" "scaler" "var c[trans]" " var c[com]" "var c[circ]" "var c[rep+]" "var c[rep-]" "var c[pack]" "var com[max]" "var rep[max]" "var c[3A]" "var c[stay]" "var scaler" "ly gamma shape" "lag" "ly gamma rate" "lag var"
-3.967349 -5.402221 -4.688009 -8.803596 0.08657959 -6.564192 8.848406 7.525749 2.178906 0.4382543 0.0003769627 0.08835179 0.8784869 0.5870016 0.04810809 0.9476658 0.2927782 0.4213252 0.1202934 0.6594721 0.1380493 0.5855162 32.02949 3.939484 2.21511 10.04346
-4.227264 -2.942701 -5.026639 -9.111825 0.6134996 -6.595671 6.182516 11.8053 9.759911 0.4597693 0.0003112371 0.2601756 0.9039437 0.2508198 0.8621222 0.6786598 0.008165157 0.2594471 0.1231815 0.9988931 0.333621 0.8749241 41.21181 7.386108 2.792424 9.587793
-4.133719 -3.197915 -5.428048 -9.993138 1.296057 -4.55836 7.674294 4.979421 8.213256 0.3477446 0.0007972315 0.4406072 0.5575773 0.7496132 0.6969023 0.2828798 0.8958761 0.5199614 0.1886964 0.6731216 0.1927095 0.9734008 47.87868 2.618389 3.503084 16.73769
-4.330079 -3.130977 -6.471056 -9.797397 0.8473349 -6.850245 5.526719 15.86623 2.81083 0.4809631 0.0003597868 0.0312318 0.8423591 0.04617861 0.1886608 0.6499377 0.3884943 0.8263911 0.5626427 0.01717845 0.6159683 0.4102939 29.39836 9.38056 2.023246 13.72549
-3.935498 -5.186041 -3.658078 -9.607695 0.268242 -5.151093 9.353837 15.6444 3.764654 0.5419399 0.0003479842 0.2832834 0.6377327 0.5162711 0.5173198 0.2215258 0.9448503 0.3733547 0.4498535 0.05773652 0.05249423 0.8863939 46.32729 2.638462 3.075324 7.282987
-3.711167 -6.723237 -2.844545 -9.880084 0.8379511 -8.580589 5.007163 15.06776 2.07659 0.2138844 0.000229607 0.01792408 0.7528761 0.05402823 0.512748 0.9107396 0.3079855 0.3943241 0.4292398 0.5690341 0.1893281 0.799857 29.82131 1.27238 2.061661 10.77895
-3.945179 -5.508963 -4.414306 -9.221996 1.370521 -8.57021 5.84751 7.226149 1.126815 0.3382986 0.0001173344 0.5849738 0.4082945 0.1219906 0.7027429 0.1955619 0.2900535 0.2976395 0.6185132 0.2840714 0.1928445 0.886739 41.85771 7.027372 2.467026 14.19241
-4.206732 -5.577718 -5.361655 -9.862562 0.169257 -5.509089 5.937509 13.7143 9.611794 0.8396439 0.0002629605 0.2806475 0.4444023 0.2087173 0.2166905 0.2874161 0.5001238 0.5868297 0.1722438 0.3250927 0.3523525 0.8550185 35.95414 6.225481 2.621438 12.209
-3.535286 -6.045705 -3.761489 -8.415594 1.215858 -2.983883 7.167236 4.246905 2.236309 0.8218099 0.0008277036 0.6371377 0.3048972 0.6673784 0.6137658 0.2128 0.7840639 0.4102474 0.1201648 0.5266555 0.3137085 0.7532525 28.43124 1.413142 1.952574 19.18905
-4.383576 -4.466033 -4.077866 -9.194486 2.016566 -3.53602 4.838685 10.23037 1.607955 0.4210794 0.0002684322 0.1303647 0.2425513 0.737221 0.5627033 0.1770458 0.296276 0.3509906 0.1632433 0.166854 0.204374 0.9564578 33.50841 3.302848 2.437245 18.89949
